country,year,nosuicide,population,suicide_per_100k
Kazakhstan,1997,4642,14394600,32.24820419
Kazakhstan,2000,4428,13772422,32.15120768
Slovenia,1996,607,1893100,32.06381068
Kazakhstan,2001,4377,13772696,31.78027018
Finland,1991,1493,4698500,31.77609875
Kazakhstan,2004,4394,13873328,31.67228512
Suriname,2008,147,464789,31.62725452
Latvia,2001,708,2242227,31.57575036
Russia,2006,42614,135357462,31.48256429
Slovenia,1997,593,1883900,31.47725463
Ukraine,1996,15160,48174500,31.46893066
Kazakhstan,1995,4706,14989600,31.3951006
Slovenia,1999,590,1884400,31.3097007
Kazakhstan,2003,4321,13811863,31.2847007
Slovenia,2000,588,1886483,31.16911205
Kazakhstan,1998,4313,13844200,31.1538406
Ukraine,1997,14903,47923000,31.09780273
Ukraine,1998,14789,47675400,31.02019071
Kazakhstan,2002,4240,13777476,30.77486762
Finland,1992,1451,4720900,30.73566481
Guyana,2013,210,683867,30.70772533
Ukraine,2000,14467,47125400,30.69894367
Hungary,2001,2978,9704598,30.6864849
Sri Lanka,2000,5252,17140342,30.64116224
Slovenia,2001,581,1901330,30.55755708
Russia,2007,41149,134778964,30.53072882
Guyana,2010,205,671825,30.51389871
Finland,1989,1413,4654300,30.35902284
Guyana,2012,206,679356,30.32283516
Ukraine,1999,14363,47415400,30.29184611
Finland,1988,1402,4633600,30.25725138
Latvia,2002,670,2214484,30.2553552
Estonia,2001,401,1325610,30.25022442
Guyana,2006,201,668408,30.07145336
Austria,1986,2139,7119149,30.04572597
Ukraine,1995,14541,48415300,30.03389424
Slovenia,1995,564,1884000,29.93630573
Belarus,1993,2885,9641100,29.92397133
Belarus,2009,2743,9169969,29.91286012
South Korea,2013,14426,48248224,29.89954615
Guyana,2001,197,660426,29.82923144
Guyana,2003,198,664705,29.78765016
Finland,1987,1363,4614100,29.5398886
South Korea,2012,14159,48020985,29.48502618
Finland,1993,1397,4741000,29.46635731
Slovenia,2003,562,1907589,29.46127284
Sri Lanka,1996,4898,16654427,29.40959782
Austria,1985,2091,7110115,29.40880703
Hungary,2002,2839,9680164,29.32801552
Kazakhstan,2007,4141,14125606,29.31555644
Finland,1994,1387,4761600,29.12886425
Kazakhstan,2006,4076,14037676,29.0361453
Finland,1995,1388,4781300,29.02976178
Austria,1987,2069,7130006,29.0182084
Hungary,2003,2800,9652533,29.00792984
Kazakhstan,1999,3991,13773400,28.97614242
Belarus,2008,2658,9205746,28.87327111
Belarus,2007,2659,9244456,28.7631852
Russia,1990,39028,136398200,28.61328082
Russia,1991,39281,137283000,28.61315676
Suriname,2010,136,476052,28.56830766
South Korea,2014,13834,48465917,28.54377025
Hungary,2004,2742,9630044,28.47339015
Ukraine,1994,13826,48619000,28.43744215
Russia,2008,38211,134385949,28.43377621
Guyana,2011,192,675283,28.43252385
Slovenia,2002,540,1906124,28.3297414
Estonia,2000,377,1334175,28.25716267
Estonia,2002,371,1316690,28.17671586
Kazakhstan,2008,3997,14216053,28.11610227
Ukraine,2001,13131,46805969,28.05411421
Russia,1989,37921,135443800,27.99759014
Kazakhstan,2005,3903,13947770,27.98296789
Guyana,2004,186,666308,27.91501828
Russia,2009,37408,134085433,27.89863087
Suriname,2009,131,470448,27.84579805
South Korea,2015,13510,48671752,27.75737352
Guyana,2007,185,668788,27.66197958
Latvia,2003,604,2190211,27.57725169
Slovenia,2006,529,1918570,27.57261919
Finland,1997,1322,4823200,27.40918892
Belarus,2010,2459,8981193,27.37943612
Suriname,2012,133,486964,27.31208056
South Korea,2008,12858,47101747,27.29835053
Hungary,2005,2619,9608943,27.25585946
Ukraine,2002,12536,46060017,27.21666386
Ukraine,2003,12313,45697383,26.9446502
Slovenia,2004,512,1907862,26.83632254
Kazakhstan,2009,3838,14370635,26.70724015
Suriname,2013,131,492359,26.60660209
Sri Lanka,2001,4590,17266961,26.58255845
Guyana,2002,176,662839,26.5524509
Japan,2003,31881,120395000,26.48033556
Austria,1989,1898,7177666,26.44313625
Kazakhstan,1994,4024,15229600,26.42223039
Latvia,2005,564,2137831,26.38187958
Suriname,2011,127,481521,26.37475832
Japan,1998,31458,119338000,26.36042166
Slovenia,2005,503,1911817,26.31004955
Kazakhstan,1993,4019,15331400,26.21417483
Estonia,2003,342,1307160,26.1635913
Hungary,2010,2489,9514005,26.16143254
Japan,1999,31115,119540000,26.02894429
South Korea,2005,12011,46151884,26.02493974
Latvia,2004,563,2163477,26.02292513
South Korea,2007,12174,46814207,26.00492624
Finland,1996,1247,4802200,25.967265
Suriname,2007,119,459086,25.92106925
Hungary,2008,2476,9552784,25.91914566
Austria,1988,1851,7144410,25.90836752
Hungary,2009,2460,9534237,25.80175005
Suriname,2014,128,497701,25.71825253
Hungary,2006,2461,9591110,25.65917813
Ukraine,1993,12469,48680500,25.6139522
Hungary,2007,2450,9572938,25.59297887
Sri Lanka,2003,4467,17524596,25.48988861
Latvia,2008,527,2067529,25.48936436
Hungary,2011,2420,9495011,25.48706895
Latvia,2009,516,2030316,25.41476302
Japan,2007,30665,120704000,25.40512328
Finland,1998,1228,4844673,25.34742799
Japan,2009,30523,120496000,25.33113132
Belarus,1992,2424,9570900,25.32677178
Guyana,2005,169,667709,25.31042715
Austria,1990,1825,7231353,25.23732419
Sri Lanka,2002,4382,17395955,25.18976394
Japan,2005,30369,120657507,25.16959015
South Korea,2004,11492,45779970,25.10268137
Guyana,2008,168,669253,25.10261441
Japan,2000,29989,119752660,25.04245
Japan,2008,30073,120602000,24.93573904
Japan,2004,30034,120500000,24.92448133
Estonia,2004,323,1297650,24.89114939
Hungary,2012,2349,9453181,24.84877842
Ukraine,2004,11256,45322826,24.83516805
Finland,1999,1207,4864255,24.81366622
Guyana,1999,163,657094,24.80619211
Suriname,1985,80,322700,24.79082739
Russia,2010,33356,134865987,24.73270002
Japan,2002,29715,120189000,24.72356039
Suriname,2006,112,453293,24.70808065
Japan,2006,29769,120702000,24.66322016
Belgium,1985,2281,9269600,24.60731855
Finland,2001,1204,4898983,24.57652946
Kazakhstan,2010,3609,14713167,24.52904939
Croatia,1998,1029,4227900,24.33832399
France,1985,12501,51382600,24.32924764
Japan,2010,29411,121127267,24.2810729
Belarus,2011,2172,8947320,24.27542549
France,1986,12529,51637600,24.2633275
Japan,2001,29132,120066000,24.26332184
Austria,1991,1769,7299728,24.23377967
Belgium,1987,2238,9291300,24.08704918
Ukraine,1992,11666,48487300,24.05990847
South Korea,2003,10898,45455888,23.97489188
Austria,1995,1788,7477030,23.91323828
Finland,2000,1165,4881820,23.8640507
Austria,1992,1759,7375368,23.8496574
Austria,1994,1776,7462552,23.79882914
Japan,2011,28766,120927000,23.7879051
Austria,1996,1779,7493706,23.73992254
Cuba,1993,2374,10004200,23.73003339
Croatia,1996,1001,4220800,23.71588324
Belgium,1986,2202,9287100,23.71030785
Ukraine,2005,10621,44939270,23.63411778
France,1987,12161,51900800,23.43123805
Guyana,2009,156,670155,23.27819684
Cuba,1992,2299,9915600,23.1856872
Croatia,1999,989,4283800,23.08697885
Kazakhstan,2013,3512,15215382,23.08190488
Russia,2011,31038,134745874,23.03447154
Latvia,2006,487,2115215,23.02366426
Slovenia,2009,447,1942037,23.01706919
Latvia,2012,444,1931521,22.98706563
Austria,1993,1704,7433569,22.92304006
South Korea,2006,10653,46513964,22.90279968
Kazakhstan,2011,3401,14853350,22.89719154
Slovenia,2013,446,1948276,22.89203378
Belarus,1991,2169,9476200,22.88892172
Ukraine,1989,10887,47761700,22.79441477
France,1993,12251,53945400,22.70999937
Ukraine,2007,10032,44198672,22.69751453
Belgium,1993,2142,9462900,22.63576705
Belgium,1995,2155,9527100,22.6196849
Slovenia,2012,440,1945988,22.61062247
Cuba,1994,2278,10089300,22.57837511
Latvia,2011,440,1953611,22.52239571
Slovenia,2007,434,1927332,22.51817538
Croatia,2000,926,4118000,22.486644
Ukraine,2006,10013,44560034,22.47080871
Sri Lanka,2006,4015,17891558,22.44075111
Belgium,1994,2131,9497400,22.4377198
Japan,1986,25484,113679000,22.41750895
Belgium,1997,2146,9576223,22.40967028
Slovenia,2011,435,1944561,22.37008764
France,1989,11715,52417900,22.34923566
Ukraine,2009,9715,43557944,22.30362388
Belgium,2001,2165,9710055,22.29647515
Finland,2002,1095,4915614,22.27595576
France,1988,11599,52157600,22.23836986
Ukraine,1991,10700,48200600,22.19889379
France,1994,12041,54247100,22.19657825
Ukraine,1990,10645,47971600,22.19021254
Hungary,2013,2092,9433840,22.17548739
Belarus,1990,2085,9408800,22.16010543
Belgium,2000,2143,9674025,22.15210318
Kazakhstan,1992,3356,15150100,22.15166897
Latvia,2010,438,1987906,22.03323497
Croatia,1997,946,4295100,22.02509837
Uruguay,2002,675,3065257,22.02099204
Russia,2012,29643,134668522,22.01182545
Serbia,1999,1571,7162831,21.9326688
Cuba,1995,2222,10168400,21.85201212
Japan,2012,26338,120735000,21.81471818
Finland,2003,1075,4929856,21.80591076
France,1992,11644,53622300,21.71484625
France,1995,11819,54528500,21.67490395
Latvia,2007,453,2093878,21.63449829
Slovenia,2015,422,1954632,21.5897417
France,1991,11502,53282900,21.58666289
Serbia,2000,1543,7149140,21.58301558
Japan,2013,25991,120514000,21.56678892
Kazakhstan,2012,3240,15023549,21.56614259
Ukraine,2008,9454,43856123,21.55685308
France,1990,11403,52952900,21.53423136
Switzerland,1996,1432,6652200,21.52671297
Finland,2004,1064,4944765,21.5177061
Kazakhstan,1990,3172,14773900,21.47029559
Switzerland,1995,1419,6617500,21.44314318
Belgium,1988,1996,9319300,21.41791765
Estonia,2009,269,1259010,21.36599392
Montenegro,2008,126,589953,21.35763357
Belarus,2013,1902,8910240,21.34622636
Belgium,2003,2091,9804122,21.32776398
Finland,2006,1062,4979740,21.32641463
Russia,2013,28690,134713962,21.29697588
Slovenia,2010,414,1944774,21.28782059
Belgium,2002,2076,9758570,21.27360874
Luxembourg,1991,77,362900,21.21796638
Ukraine,1987,10050,47374200,21.21407855
Austria,1997,1592,7512589,21.1910967
Estonia,2005,273,1288495,21.18750946
Luxembourg,1987,74,349400,21.17916428
Ukraine,2012,9058,42915935,21.10637925
Croatia,2001,881,4180633,21.07336377
Belgium,1996,2013,9557545,21.06189403
Ukraine,2010,9089,43296809,20.99230916
Slovenia,2008,408,1943758,20.99026731
Hungary,2016,1761,8390370,20.98834736
Belgium,1998,2019,9620997,20.9853511
Austria,2000,1588,7592073,20.91655336
Ukraine,2011,8973,43074791,20.8312096
Switzerland,2002,1446,6942010,20.82970206
Croatia,2002,874,4217300,20.72416001
Austria,1998,1559,7533519,20.69418024
Japan,1987,23663,114416000,20.68154804
Croatia,1995,929,4497400,20.65637924
Latvia,2015,387,1875522,20.63425542
Croatia,2005,874,4235875,20.6332812
Luxembourg,1997,81,392600,20.63168619
Japan,1985,23257,112809200,20.61622634
Kazakhstan,1991,3082,14952800,20.61152426
Montenegro,2007,121,587244,20.60472308
Croatia,2004,871,4229600,20.59296387
France,1996,11279,54791600,20.5852722
Finland,2008,1033,5020096,20.57729573
Czech Republic,1990,1997,9710900,20.56452028
Austria,1999,1555,7561609,20.56440633
Czech Republic,1992,1991,9681900,20.56414547
Luxembourg,1989,73,355400,20.54023635
Belgium,1989,1920,9349200,20.53651649
Serbia,2006,1443,7031811,20.52102936
Ukraine,1988,9751,47549900,20.50687804
Finland,2009,1034,5042316,20.50644981
Belgium,2005,2029,9901014,20.49285053
Denmark,1994,999,4874900,20.49272806
Croatia,2003,865,4225600,20.47046573
Hungary,2014,1925,9412788,20.45090148
Switzerland,1998,1371,6725167,20.38611086
Serbia,2005,1437,7058982,20.35704298
Serbia,1998,1460,7179002,20.33708864
Luxembourg,2002,85,418106,20.32977283
Switzerland,2000,1380,6809589,20.26554026
Serbia,2002,1446,7138113,20.2574546
Japan,2014,24357,120274000,20.25125962
France,1997,11139,55045500,20.23598659
Montenegro,2005,118,583232,20.23208603
Belgium,1990,1895,9369700,20.22476707
Kazakhstan,2014,3119,15428844,20.2153836
Austria,2002,1553,7683162,20.21303208
Serbia,2001,1442,7142410,20.18926385
Belgium,2004,1987,9848022,20.17664055
Latvia,2014,382,1894041,20.168518
Belgium,2011,2088,10355126,20.16392654
Switzerland,1997,1341,6675200,20.08928571
Sweden,1988,1590,7930900,20.04816603
Finland,2005,994,4961784,20.03311712
Latvia,2013,383,1912464,20.02652076
Cuba,1998,2056,10307978,19.94571583
Belgium,1992,1878,9428100,19.91917778
Finland,2007,995,4998853,19.90456611
Hungary,2015,1868,9389519,19.89452282
Slovenia,2014,388,1951786,19.87922856
Sweden,1989,1579,7964800,19.82472881
Cuba,1999,2050,10350039,19.80668865
Belgium,2008,1999,10100850,19.79041368
Belgium,2009,2013,10173366,19.78696137
Cuba,1997,2029,10260492,19.77488019
Estonia,2007,251,1270415,19.75732339
Czech Republic,1993,1917,9703400,19.75596183
South Korea,1998,8569,43395700,19.74619605
Uruguay,2015,630,3190795,19.7442957
Belgium,2010,2013,10211171,19.71370375
Serbia,2009,1373,6968240,19.70368414
Russia,2014,26541,134713962,19.70174406
Japan,1988,22676,115101000,19.70095829
Czech Republic,1991,1904,9667500,19.69485389
Ukraine,2014,7968,40464165,19.6914974
Cuba,1996,2014,10241600,19.66489611
France,2000,10849,55267624,19.62993741
Luxembourg,1994,74,377000,19.62864721
Luxembourg,1988,69,352300,19.58558047
Japan,1997,23280,119060000,19.55316647
Belarus,2014,1741,8906977,19.54647463
Mongolia,2016,423,2167589,19.51476964
Austria,2001,1489,7634560,19.50341604
Switzerland,2001,1338,6865842,19.48777732
Sweden,1987,1541,7909000,19.484132
Belgium,2006,1935,9962702,19.42244182
Estonia,2014,241,1241852,19.40649933
Belgium,2012,2026,10442637,19.40122979
Serbia,2003,1378,7111975,19.37577115
Estonia,2006,247,1278915,19.31324599
Serbia,2007,1353,7009610,19.30207244
France,2003,10871,56360402,19.28836491
Czech Republic,1994,1872,9723700,19.25193085
Iceland,2000,50,259723,19.25127925
Belgium,1999,1857,9648277,19.24695985
Belgium,1991,1805,9396600,19.20907562
Japan,2015,23092,120376310,19.18317649
Bulgaria,1996,1526,7963300,19.16290985
Switzerland,1999,1296,6764328,19.15933113
Croatia,2016,683,3567043,19.14751238
Estonia,2008,242,1264005,19.14549389
Croatia,2012,776,4054296,19.14019105
South Korea,2002,8611,45110041,19.08887647
France,1998,10534,55280700,19.05547506
France,2002,10643,55935517,19.0272667
Bulgaria,1998,1503,7899500,19.02652067
France,2004,10804,56813922,19.01646572
Uruguay,2012,599,3151939,19.00417489
Serbia,2004,1345,7086364,18.98011448
Luxembourg,1990,68,358800,18.95206243
Estonia,2012,237,1251631,18.93529323
Switzerland,2007,1360,7183595,18.93202498
Denmark,1995,924,4889100,18.8991839
Bulgaria,1992,1519,8041500,18.88951066
Austria,2003,1456,7722033,18.85513828
Finland,2010,954,5063494,18.84074515
France,2001,10449,55511272,18.82320405
Croatia,2006,796,4234946,18.79598937
Kiribati,1993,12,63848,18.79463726
Ukraine,2015,7574,40345446,18.77287464
Croatia,2008,793,4225583,18.76664119
France,2005,10713,57160687,18.7419021
Croatia,2009,790,4216050,18.73791819
France,1999,10268,55043393,18.65437329
Uruguay,2007,576,3087957,18.65310948
Uruguay,2014,591,3177645,18.59867921
Germany,1990,13924,74958800,18.5755375
Luxembourg,1996,72,387700,18.5710601
Russia,2015,25432,137018943,18.56093723
Germany,1991,14010,75495900,18.55729914
Belgium,2007,1857,10030266,18.51396563
Japan,1996,21967,118785000,18.49307573
Croatia,2015,739,4001669,18.46729452
Bulgaria,1997,1465,7933900,18.46506762
Croatia,2010,776,4203963,18.45877331
Serbia,2008,1289,6988532,18.44450308
Sweden,1991,1483,8041100,18.44275037
Switzerland,2006,1309,7118477,18.3887649
Sweden,1990,1471,8005700,18.37440823
Bulgaria,1993,1470,8001000,18.37270341
Switzerland,2005,1299,7071991,18.36823605
Kazakhstan,2015,2872,15646752,18.35524715
Croatia,2007,775,4230855,18.31781047
Bulgaria,1994,1464,7995500,18.31029954
Austria,2004,1422,7773105,18.29384783
Switzerland,2004,1284,7023166,18.282353
Switzerland,2003,1269,6969293,18.20844668
Serbia,2011,1256,6900027,18.20282732
Uruguay,2000,555,3050169,18.19571309
Japan,1989,21013,115766000,18.15127067
Denmark,1996,892,4917300,18.1400362
Serbia,2012,1243,6867174,18.10060441
Montenegro,2009,107,592234,18.0671829
Switzerland,2008,1314,7274875,18.06216602
Mauritius,1988,167,925000,18.05405405
France,2006,10423,57824447,18.02524804
Belgium,2013,1895,10526149,18.00278525
Japan,1995,21249,118349500,17.95444848
Belgium,2014,1899,10578848,17.95091488
Bulgaria,1995,1433,7983900,17.9486216
Norway,1988,708,3946600,17.93949222
Finland,2011,912,5085985,17.93162976
Croatia,2014,722,4030452,17.91362358
Poland,2009,6477,36223402,17.88070596
Austria,2005,1399,7827461,17.87297311
France,2009,10499,58770727,17.86433576
Bulgaria,1987,1492,8375400,17.81407455
Czech Republic,1995,1733,9744300,17.78475622
Estonia,2010,223,1254225,17.77990392
Cuba,2000,1845,10397209,17.7451468
France,2008,10353,58482967,17.70259023
Japan,1992,20756,117311000,17.69314046
Poland,2012,6368,36013446,17.68228456
Germany,1992,13458,76131700,17.6772619
Bulgaria,2000,1383,7829095,17.66487697
Suriname,2003,77,435946,17.66273805
Poland,2010,6357,36027791,17.64471211
Luxembourg,2001,73,413930,17.63583215
Czech Republic,2003,1719,9748550,17.63339163
France,2010,10379,59056283,17.57476
Belgium,2015,1867,10624356,17.57282983
Japan,1994,20744,118064000,17.57013145
France,2011,10408,59344643,17.53823003
Estonia,2013,218,1243096,17.53685958
Serbia,2013,1197,6832840,17.51833791
Uruguay,2010,547,3127306,17.49109297
Bulgaria,2002,1317,7544410,17.45663345
Uruguay,2003,535,3065772,17.45074324
Estonia,2011,218,1249427,17.44799816
France,2007,10127,58167011,17.41021212
Serbia,2010,1207,6944871,17.37973247
Bulgaria,1989,1460,8403200,17.37433359
Bulgaria,1985,1456,8392500,17.34882335
Luxembourg,1999,70,403890,17.33145163
Bulgaria,2001,1314,7591926,17.30786101
Bulgaria,1988,1452,8389800,17.3067296
Japan,1993,20353,117735000,17.28712787
Uruguay,1998,521,3014887,17.28091302
Finland,2013,887,5135433,17.27215602
Poland,2013,6218,36023694,17.2608617
Luxembourg,2007,78,452012,17.25617904
Uruguay,2013,546,3164670,17.25298372
Japan,1990,20002,116251400,17.2058143
Luxembourg,1993,64,372000,17.20430108
Uruguay,2006,528,3077445,17.15708973
Iceland,1990,40,233300,17.14530647
Croatia,2013,692,4044457,17.10983699
Finland,2012,873,5110450,17.08264439
Czech Republic,1997,1666,9786700,17.02310278
Norway,1991,675,3972600,16.99139103
Poland,2011,6113,36008237,16.9766712
Suriname,2001,72,424515,16.96053143
Uruguay,2004,520,3066489,16.95750417
Japan,1991,19780,116802000,16.93464153
Sweden,1993,1373,8112500,16.92449923
Uruguay,2008,523,3100791,16.86666402
Czech Republic,2000,1649,9819742,16.79270189
Sweden,1992,1355,8073200,16.78392707
Bulgaria,1986,1408,8391500,16.77888339
Croatia,2011,702,4189029,16.75806016
Czech Republic,2012,1658,9923127,16.70844281
Poland,2004,6072,36371596,16.69434577
Mauritius,1999,174,1042400,16.69224866
Norway,1989,660,3955800,16.6843622
Serbia,2014,1134,6801810,16.67203289
Iceland,1986,37,222300,16.64417454
Norway,1990,659,3961300,16.63595284
Poland,2005,6045,36371365,16.62021758
Germany,1995,12888,77547500,16.61949128
Bulgaria,1999,1307,7866600,16.61454758
Denmark,1997,817,4937300,16.54750572
Germany,1993,12690,76793400,16.5248576
Norway,1987,649,3929500,16.5160962
Czech Republic,2001,1623,9838083,16.49711636
Luxembourg,1995,63,382100,16.48783041
Germany,1994,12718,77163400,16.48190723
Austria,2006,1297,7869269,16.48183586
Poland,2014,5934,36059630,16.45607567
Czech Republic,1998,1613,9808300,16.44525555
Bulgaria,1991,1384,8431900,16.4138569
Uruguay,2009,511,3114306,16.40815
Czech Republic,1999,1610,9819215,16.39642273
New Zealand,1998,574,3502800,16.38689049
Sweden,1995,1348,8233000,16.37313252
France,2012,9743,59638457,16.33677411
Trinidad and Tobago,2008,199,1219336,16.32035797
Iceland,2013,49,300456,16.30854435
Uruguay,2001,499,3061024,16.30173432
Poland,2002,5925,36347498,16.30098446
Austria,2007,1285,7897272,16.27144158
Czech Republic,2004,1583,9746647,16.24148284
Uruguay,2005,498,3070178,16.2205579
Slovakia,1992,796,4909228,16.21436201
Singapore,1989,394,2431100,16.20665542
Sweden,1994,1324,8174100,16.19750187
New Zealand,1997,562,3470200,16.19503199
Trinidad and Tobago,1989,173,1070000,16.1682243
Kiribati,1991,10,61855,16.16684181
New Zealand,1995,545,3373800,16.15389175
South Korea,1999,7075,43817300,16.1465905
Austria,2014,1314,8141165,16.14019615
Poland,2001,5855,36295390,16.13152524
Poland,2000,5841,36233344,16.12051043
Austria,2011,1288,7995146,16.10977461
Suriname,2005,72,447445,16.09136318
Luxembourg,1998,64,397915,16.083837
Austria,2009,1278,7946894,16.08175471
Luxembourg,1992,59,367300,16.06316363
Czech Republic,1996,1568,9763900,16.05915669
Poland,2003,5836,36353775,16.05335347
Czech Republic,2011,1590,9906318,16.05036301
Austria,2016,1201,7484629,16.04621953
Poland,1992,5713,35605400,16.04531897
Suriname,2002,69,430176,16.03994644
Guyana,1991,105,654620,16.03983991
Czech Republic,2005,1565,9761733,16.0319894
France,2013,9600,59910069,16.0240176
Trinidad and Tobago,1995,184,1149173,16.01151437
Austria,2008,1267,7925258,15.98686125
Austria,2013,1291,8079615,15.97848412
Poland,2006,5805,36348232,15.97051543
Iceland,1987,36,225600,15.95744681
Luxembourg,1985,55,344800,15.9512761
Austria,2012,1276,8031276,15.88788631
Czech Republic,2013,1577,9936780,15.87033224
Austria,2010,1264,7968421,15.86261569
New Zealand,1988,484,3055200,15.84184341
Cuba,2001,1652,10433428,15.83372215
Poland,1999,5779,36575200,15.80032372
New Zealand,1996,540,3432500,15.73197378
Czech Republic,2002,1534,9752463,15.72935986
Bulgaria,1990,1323,8418500,15.71538873
Poland,1993,5624,35792600,15.71274509
Germany,1997,12256,78067900,15.6991542
Suriname,1991,57,363079,15.69906274
Germany,1996,12225,77882500,15.69672263
Serbia,2015,1062,6766406,15.69518589
Iceland,1991,37,235900,15.68461212
Estonia,2015,195,1243450,15.68217459
Poland,2008,5682,36262711,15.66898845
Suriname,1987,52,332013,15.66203733
Mauritius,1990,147,941100,15.62001913
Trinidad and Tobago,1990,170,1088500,15.61782269
Canada,1986,3670,23499100,15.6176194
Iceland,2010,46,294620,15.61333243
Kyrgyzstan,1995,605,3905400,15.49137092
South Korea,2001,6911,44710865,15.45709304
Norway,1992,616,3989800,15.43937039
Mauritius,1989,144,932900,15.43573802
New Zealand,1994,512,3319500,15.42400964
Kiribati,1994,10,64871,15.41520864
Mauritius,1992,146,948300,15.39597174
Denmark,1998,763,4956400,15.39423775
Mauritius,1996,153,995000,15.37688442
Australia,1997,2646,17221300,15.36469372
Mauritius,1987,140,911300,15.36266872
Poland,1994,5519,35960000,15.34760845
Cuba,2002,1606,10479415,15.32528295
Denmark,1999,762,4976200,15.31288935
Singapore,1988,366,2393400,15.29205315
Finland,2014,789,5159944,15.29086362
Iceland,1988,35,229200,15.27050611
Uruguay,1997,456,2991662,15.24236361
Suriname,1989,53,347723,15.24201735
New Zealand,1992,493,3235600,15.23674125
Poland,1995,5499,36104900,15.23061967
Austria,2015,1251,8219386,15.22011498
New Zealand,1987,463,3047100,15.19477536
New Zealand,1989,465,3063800,15.17723089
Suriname,2004,67,441717,15.16808273
Trinidad and Tobago,1993,174,1148300,15.15283463
Sweden,1996,1253,8274300,15.14327496
Trinidad and Tobago,2001,179,1183354,15.12649638
Luxembourg,2000,62,410164,15.11590486
Australia,1998,2632,17421730,15.10756968
Mauritius,1998,155,1026300,15.10279645
Czech Republic,2010,1502,9945273,15.10265229
Canada,1987,3591,23798100,15.08943991
Kyrgyzstan,1994,581,3851100,15.08659863
Poland,1996,5446,36243300,15.02622554
Poland,2015,5420,36086575,15.0194359
Poland,1991,5316,35396300,15.01851888
Switzerland,2009,1105,7364558,15.00429489
Mauritius,1995,147,981900,14.97097464
Trinidad and Tobago,1988,164,1095600,14.96896678
Guyana,1995,99,661682,14.9618699
Slovakia,1993,738,4935260,14.95361946
Czech Republic,2014,1489,9963127,14.94510709
Germany,1998,11654,78071100,14.92741872
Iceland,2016,40,268773,14.88244727
